"date","cruise","set.number","species","size.class","specimen","length","sex","disc.width","not.intact","carapace.condition","egg.condition","comment","length.unit","length.interval","measurement.type","weight.unit"
"2020-07-07","P150",1,42,1,375,24,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,42,1,376,25,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,42,1,377,24,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,398,22,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,399,16,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,400,19,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,401,17,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,402,17,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,403,24,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,404,15,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,405,15,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,406,15,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,407,17,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,408,16,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,409,21,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,410,18,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,411,25,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,412,19,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,413,18,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,414,16,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,415,20,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,416,23,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,417,23,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,418,21,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,419,22,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,420,22,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,421,26,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,422,21,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,423,24,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,424,16,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,425,19,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,426,27,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,427,18,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,428,23,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,429,11,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,430,16,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,431,23,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,432,17,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,433,19,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,434,17,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,435,19,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,436,18,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,437,19,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,438,13,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,439,9,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,440,11,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,441,17,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,442,12,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,443,9,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,444,20,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,445,14,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,446,11,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,447,12,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,448,11,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,449,14,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,450,14,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,451,21,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,452,22,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,453,23,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,454,13,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,455,20,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,456,20,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,457,21,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,458,15,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,459,22,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,460,16,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,461,21,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,462,12,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,463,23,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,464,22,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,465,24,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,466,13,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,467,21,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,468,21,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,469,19,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,470,17,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,471,11,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,472,23,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,473,24,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,474,18,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,475,25,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,476,26,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,477,15,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,478,16,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,479,30,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,480,17,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,481,11,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,482,20,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,483,12,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,484,21,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,485,19,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,486,13,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,487,23,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,488,23,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,489,16,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,490,20,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,491,12,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,492,22,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,493,18,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,494,13,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,495,14,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,496,13,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,497,16,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,498,14,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,499,14,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,500,12,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,43,1,501,8,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,62,1,378,25,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,62,1,379,22,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,62,1,380,22,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,502,28,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,503,28,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,504,30,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,505,28,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,506,28,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,507,26,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,508,26,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,509,27,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,510,27,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,511,27,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,512,27,NA,NA,"0",NA,NA,"","cm",1,2,"g"
"2020-07-07","P150",1,70,1,513,27,NA,NA,"0",NA,NA,"","cm",1,2,"g"
