year,month,day,tow.id,crab.number,sex,shell.condition,body.part,colour.L,colour.a,colour.b
2017,7,15,GP281F,6,1,2,chela,58.87,-1.93,2.9
2017,7,15,GP281F,8,1,1,chela,61.49,-2,-2.11
2017,7,15,GP281F,36,1,1,chela,60.28,-1.66,-2.45
2017,7,15,GP281F,39,1,3,chela,54.27,-0.22,4.15
2017,7,15,GP281F,62,1,3,chela,53.41,-0.38,7.2
2017,7,15,GP258F,8,1,3,chela,50.81,0.51,9.41
2017,7,15,GP258F,11,1,1,chela,59.28,-1.39,-4.36
2017,7,15,GP258F,12,1,1,chela,62.72,-2.49,-0.9
2017,7,15,GP258F,16,1,3,chela,57.02,-1.94,3.97
2017,7,15,GP247F,2,1,1,chela,58.36,-1.93,0.44
2017,7,15,GP247F,14,1,1,chela,51.22,-0.83,0.57
2017,7,15,GP242A2,25,1,1,chela,59.41,-1.36,-2.01
2017,7,15,GP242A2,29,1,1,chela,59.12,-0.65,-1.39
2017,7,15,GP253F,1,1,1,chela,63.39,-1.6,0.49
2017,7,15,GP253F,11,1,1,chela,47.35,1.74,2.09
2017,7,15,GP222F,16,1,4,chela,50.89,1.05,14.41
2017,7,15,GP222F,25,1,1,chela,56.97,-1.83,-0.04
2017,7,15,GP222F,29,1,3,chela,62.84,-1.82,9.85
2017,7,15,GP222F,42,1,1,chela,62.94,-2.74,-0.26
2017,7,15,GP222F,63,1,3M,chela,53.96,0.32,13.31
2017,7,15,GP222F,64,1,4,chela,56.77,-0.66,16.44
2017,7,15,GP222F,74,1,3,chela,55.15,1.15,11.99
2017,7,15,GP211F,6,1,1,chela,64.62,-2.18,0.96
2017,7,15,GP211F,41,1,3,chela,61.15,-2.45,6.11
2017,7,15,GP211F,48,1,3M,chela,57.98,-1.79,13.36
2017,7,15,GP211F,50,1,3,chela,59.78,-2.51,6.39
2017,7,15,GP211F,60,1,4,chela,54.5,-0.96,14.14
2017,7,15,GP219F,61,1,4,chela,50.35,2.94,19.05
2017,7,15,GP219F,81,1,1,chela,64.52,-2.83,0.99
2017,7,15,GP219F,95,1,3M,chela,53.68,1.02,19.22
2017,7,10,GP351F,1,1,,chela,67.91,-2.99,-0.27
2017,7,10,GP351F,2,1,,chela,56.41,-0.95,-4.25
2017,7,10,GP351F,6,1,,chela,65.08,-2.83,4.38
2017,7,10,GP351F,9,1,,chela,59.35,-2.26,4.67
2017,7,10,GP351F,10,1,,chela,60.71,-1.67,4.31
2017,7,10,GP346F,2,1,,chela,50.28,0.02,3.85
2017,7,10,GP346F,3,1,,chela,61.94,-2.01,5.66
2017,7,10,GP346F,8,1,,chela,41.19,5.7,16.92
2017,7,10,GP346F,22,1,2,chela,53.94,-0.94,-1.07
2017,7,10,GP346F,34,1,4,chela,56.28,-0.55,18.17
2017,7,10,GP342F,6,1,1,chela,53.87,-1.53,1.28
2017,7,10,GP342F,10,1,1,chela,58.97,-1.65,-3.62
2017,7,10,GP342F,28,1,3,chela,59.23,-2.34,2.79
2017,7,10,GP342F,29,1,3,chela,51.36,0.32,5.98
2017,7,10,GP342F,30,1,2,chela,60.45,-2.11,-1.26
2017,7,10,GP342F,31,1,2,chela,55.93,-1.32,1.13
2017,7,10,GP334F,2,1,5,chela,51.25,1.06,12.81
2017,7,10,GP323F,4,1,1,chela,64.51,-1.67,2.49
2017,7,10,GP323F,15,1,2,chela,62.75,-2.31,-1.98
2017,7,10,GP323F,16,1,2,chela,61.28,-2.1,-2.48
2017,7,10,GP325F,1,1,2,chela,62.78,-2.38,-3.03
2017,7,10,GP325F,2,1,2,chela,63.62,-2.55,-0.98
2017,7,10,GP325F,3,1,3,chela,62.8,-2.85,3.61
2017,7,10,GP325F,13,1,3M,chela,54.1,-1.38,9.76
2017,7,10,GP325F,18,1,3,chela,65.15,-3.42,9.13
2017,7,10,GP325F,38,1,1,chela,61.67,-1.48,-1.2
2017,7,10,GP325F,45,1,1,chela,66.28,-2.25,-0.86
2017,7,11,GP335F,34,1,1,chela,57.65,-1.46,-2.58
2017,7,11,GP335F,39,1,3,chela,63.25,-2.84,10.36
2017,7,11,GP335F,41,1,1,chela,59.58,-1.38,-1.77
2017,7,11,GP335F,45,1,2,chela,59.76,-0.45,-1.07
2017,7,11,GP335F,52,1,3,chela,66.5,-3.29,5.53
2017,7,11,GP344F,1,1,2,chela,61.28,-2.01,-3.42
2017,7,11,GP344F,2,1,1,chela,57.34,0.2,-2.46
2017,7,11,GP344F,5,1,2,chela,59.09,-0.47,-2.56
2017,7,11,GP344F,8,1,1,chela,58.44,-1.22,-3.42
2017,7,11,GP344F,39,1,3,chela,63.78,-2.74,5.54
2017,7,11,GP344F,46,1,3,chela,54.09,-1.71,8.35
2017,7,11,GP341F,1,1,1,chela,59.62,-0.74,-3
2017,7,11,GP341F,2,1,2,chela,58.71,-1.57,-1.06
2017,7,11,GP341F,3,1,2,chela,59.31,0.12,-2.99
2017,7,11,GP341F,4,1,1,chela,64.54,-2.32,1.08
2017,7,11,GP341F,9,1,3,chela,64.28,-1.7,9.46
2017,7,11,GP341F,10,1,3,chela,66.16,-3.05,5.74
2017,7,11,GP331F,7,1,3,chela,60.96,-2.49,2.18
2017,7,11,GP331F,12,1,3,chela,64.1,-3.2,3.13
2017,7,11,GP326F,1,1,3,chela,61.95,-3.32,3.67
2017,7,11,GP326F,2,1,2,chela,62.25,-2.52,-1.99
2017,7,11,GP326F,3,1,3,chela,63.77,-3.23,2.68
2017,7,11,GP326F,4,1,2,chela,62.71,-2.01,-2.16
2017,7,11,GP326F,54,1,1,chela,64.33,-1.97,-1.61
2017,7,11,GP326F,64,1,3M,chela,56.8,-0.78,13.42
2017,7,11,GP326F,121,1,1,chela,61.6,-1.88,-3.45
2017,7,11,GP315A2,2,1,2,chela,59.05,-0.62,-3.32
2017,7,11,GP315A2,68,1,1,chela,60.83,-0.61,-2.87
2017,7,11,GP315A2,329,1,3,chela,63.45,-2.43,4.02
2017,7,11,GP324F,6,1,2,chela,56.76,-1.15,-3.83
2017,7,11,GP324F,7,1,2,chela,48.24,-0.73,-0.84
2017,7,11,GP313F,2,1,1,chela,61.55,-1.68,-2.3
2017,7,11,GP313F,3,1,3,chela,66.36,-3.48,4.97
2017,7,11,GP313F,4,1,2,chela,61.61,-1.65,-1.15
2017,7,11,GP313F,5,1,2,chela,60.12,-1.54,-2.86
2017,7,11,GP313F,10,1,3,chela,54.87,-1.07,3.66
2017,7,11,GP313F,69,1,1,chela,63.66,-1.94,-1.1
2017,7,12,GP295F,1,1,1,chela,57.64,-0.43,-2.22
2017,7,12,GP295F,3,1,2,chela,63.42,-0.34,2.64
2017,7,12,GP295F,4,1,1,chela,55.46,-1.71,0.45
2017,7,12,GP295F,9,1,2,chela,66.63,-1.56,1.52
2017,7,12,GP295F,12,1,3,chela,55.95,0,2.37
2017,7,13,GP260F,1,1,3,chela,53.8,-0.83,6.74
2017,7,13,GP260F,2,1,3,chela,56.25,-0.75,8.95
2017,7,26,GP118F,7,1,1,chela,56.32,-2.04,-0.79
2017,7,26,GP118F,17,1,1,chela,56.83,-2.11,-2.6
2017,7,26,GP126F,5,1,1,chela,64.16,-2.35,2.71
2017,7,26,GP126F,20,1,1,chela,62.53,-3.01,2.32
2017,7,26,GP126F,68,1,3,chela,53.16,-2.58,9.75
2017,7,26,GP114F,19,1,1,chela,60.65,-2.31,-1.58
2017,7,26,GP114F,33,1,1,chela,53.81,-1.29,-2.3
2017,7,26,GP101F,7,1,1,chela,60.78,-2.38,-0.24
2017,7,26,GP101F,9,1,1,chela,56.61,-2.04,-2.03
2017,7,26,GP101F,14,1,4,chela,49.56,-0.26,8.8
2017,7,26,GP101F,27,1,3M,chela,49.16,0.25,7.83
2017,7,26,GP101F,28,1,3M,chela,51.42,-0.27,10.23
2017,7,26,GP101F,30,1,3,chela,51.89,-1.46,10.64
2017,7,26,GP101F,31,1,3,chela,48.8,0.34,6.83
2017,7,26,GP101F,36,1,4,chela,54.93,-0.96,16.55
2017,7,26,GP101F,79,1,2,chela,53.22,-0.91,3.2
2017,7,26,GP082F,4,1,2,chela,66.2,-3.35,2.44
2017,7,26,GP082F,5,1,2,chela,64.94,-3.29,0
2017,7,26,GP082F,6,1,1,chela,59.32,-0.82,5.01
2017,7,26,GP082F,8,1,1,chela,61.15,-2.75,-1
2017,7,26,GP082F,19,1,4,chela,50.16,2.93,20.68
2017,7,24,GP036F,1,1,1,chela,62.53,-1.85,0.84
2017,7,24,GP036F,15,1,5,chela,41.27,3.04,16.7
2017,7,24,GP046F,19,1,1,chela,57.42,-2.17,1.08
2017,7,24,GP046F,30,1,1,chela,65.8,-1.35,0.63
2017,7,24,GP044F,1,1,1,chela,64.27,0.4,3.44
2017,7,24,GP044F,5,1,1,chela,64.29,-1.08,-0.06
2017,7,24,GP025F,2,1,3,chela,53.36,1.31,15.26
2017,7,24,GP023F,5,1,3,chela,60.67,-1.54,2.49
2017,7,24,GP023F,15,1,1,chela,52.43,-0.38,3.94
2017,7,24,GP023F,31,1,1,chela,61.83,-1.9,3.26
2017,7,24,GP023F,49,1,2,chela,52.29,-0.38,6.04
2017,7,24,GP023F,64,1,2,chela,53.56,-0.54,4.12
2017,7,24,GP023F,84,1,3,chela,60.8,-1.51,3.59
2017,7,24,GP023F,85,1,3M,chela,44.99,3.16,12.22
2017,7,24,GP016F,2,1,1,chela,60.39,-2.38,0.61
2017,7,24,GP016F,3,1,1,chela,64.22,-2.16,3.7
2017,7,24,GP016F,7,1,2,chela,58.36,-1.92,1.96
2017,7,24,GP019F,6,1,2,chela,59.73,-1.49,1.19
2017,7,24,GP019F,7,1,3,chela,48.28,1.22,11.77
2017,7,24,GP019F,8,1,1,chela,60.16,-2.06,0.62
2017,7,24,GP019F,10,1,2,chela,61.47,-1.9,2.6
2017,7,24,GP019F,13,1,1,chela,54.77,-1.21,2.29
2017,7,24,GP019F,18,1,4,chela,45.51,4.66,20.93
2017,7,24,GP019F,42,1,3,chela,56.43,0.33,16.97
2017,7,24,GP019F,65,1,3M,chela,52.2,1.04,13.23
2017,7,24,GP019F,71,1,3M,chela,49.54,1.07,13.14
2017,7,24,GP018F,3,1,1,chela,63.23,-2.31,-1.79
2017,7,24,GP018F,4,1,1,chela,62.48,-2.08,-0.03
2017,7,24,GP018F,37,1,2,chela,64.29,-1.94,0.71
2017,7,24,GP018F,48,1,2,chela,65.89,-3.06,5.42
2017,7,24,GP028F,3,1,1,chela,59.17,-1.79,-0.71
2017,7,24,GP028F,4,1,1,chela,56.49,-1.33,5.3
2017,7,24,GP028F,9,1,2,chela,60.44,-1.39,6.65
2017,7,24,GP028F,15,1,2,chela,64.31,-2.51,0.29
2017,7,24,GP028F,20,1,3M,chela,51.3,0.35,10.84
2017,7,24,GP028F,22,1,4,chela,46.19,2.4,12.19
2017,7,24,GP028F,30,1,3,chela,56.95,-0.25,14.4
2017,7,24,GP028F,31,1,4,chela,48.19,1.21,11.28
2017,7,24,GP032F,1,1,1,chela,56.36,-2.25,-0.28
2017,7,24,GP032F,2,1,1,chela,60.86,-1.65,5.12
2017,7,24,GP032F,3,1,3M,chela,47.04,0.72,12.95
2017,7,24,GP032F,9,1,3,chela,49.94,0.4,13.48
2017,7,24,GP032F,19,1,2,chela,61.26,-2.11,2.62
2017,7,24,GP032F,20,1,3M,chela,45.38,0.93,10.73
2017,7,24,GP032F,24,1,4,chela,48.98,1.01,12.41
2017,7,24,GP032F,25,1,3,chela,48.21,2.63,15.93
2017,7,25,GP100F,3,1,3M,chela,57.45,-0.94,13.47
2017,7,25,GP087F,24,1,4,chela,51.74,2.87,20.75
2017,7,25,GP087F,28,1,3M,chela,57.64,-1.48,11.77
2017,7,25,GP087F,87,1,4,chela,48.72,0.44,14.88
2017,7,25,GP095F,17,1,3M,chela,46.68,1.22,6.1
2017,7,25,GP095F,27,1,1,chela,58.74,-2.16,-1.06
2017,7,25,GP095F,30,1,1,chela,58.64,-1.6,0.21
2017,7,25,GP095F,51,1,2,chela,60,-2.34,-0.54
2017,7,25,GP095F,67,1,3,chela,44.61,2.12,10.73
2017,7,25,GP095F,89,1,3M,chela,54.11,-0.16,12.95
2017,7,25,GP111F,19,1,4,chela,43.53,2.94,9.42
2017,7,25,GP111F,20,1,1,chela,61.95,-2.47,0.5
2017,7,25,GP111F,21,1,3,chela,47.2,3.21,15.84
2017,7,25,GP111F,23,1,1,chela,58.41,-1.81,-2.29
2017,7,25,GP111F,35,1,3M,chela,56.6,-1.78,6.88
2017,7,25,GP111F,38,1,3M,chela,43.27,1.8,11.69
2017,7,25,GP111F,46,1,2,chela,59.55,-2.39,1.63
2017,7,25,GP110F,5,1,4,chela,50.39,0.91,14.36
2017,7,25,GP110F,7,1,1,chela,63.24,-2.71,2.17
2017,7,25,GP110F,8,1,1,chela,57.44,-1.88,3.5
2017,7,25,GP110F,14,1,3M,chela,54.77,-0.69,13.15
2017,7,25,GP110F,15,1,4,chela,44.03,4.16,22.99
2017,7,25,GP131F,8,1,3,chela,57.67,-1.62,12.27
2017,7,25,GP131F,9,1,1,chela,64.13,-2.98,1.18
2017,7,25,GP131F,13,1,1,chela,53.97,-1.4,0.17
2017,7,25,GP131F,14,1,3M,chela,46,2.96,11.7
2017,7,25,GP131F,17,1,4,chela,50.23,2.75,15.02
2017,7,25,GP131F,28,1,3,chela,48.14,1.57,13.19
2017,7,25,GP145F,2,1,1,chela,60.29,-2.3,-1.55
2017,7,25,GP145F,3,1,4,chela,46.06,3.07,17.99
2017,7,25,GP145F,6,1,4,chela,51.1,-0.51,15.74
2017,7,25,GP145F,7,1,3M,chela,49.71,1.75,15.68
2017,7,25,GP145F,18,1,3M,chela,51.89,1.11,13.69
2017,7,25,GP145F,28,1,1,chela,61.62,-3,-0.39
2017,7,25,GP145F,36,1,3,chela,62.37,-2.11,5.43
2017,7,25,GP135F,10,1,1,chela,64.43,-1.8,1.58
2017,7,25,GP135F,12,1,1,chela,59.95,-2.6,1.62
2017,7,25,GP135F,24,1,3M,chela,58.28,-1.64,11.55
2017,7,25,GP135F,26,1,3,chela,59.27,-1.92,7.81
2017,7,25,GP136F,7,1,1,chela,65.79,-3.31,2.16
2017,7,25,GP136F,16,1,2,chela,62.55,-2.08,-1.68
2017,7,25,GP136F,17,1,3,chela,57.24,0.32,12.5
2017,7,25,GP144F,34,1,2,chela,65.62,-3.14,0.73
2017,7,25,GP144F,36,1,3,chela,58.38,-2.06,9.44
2017,7,25,GP144F,37,1,1,chela,61.4,-2.17,-2.28
2017,7,25,GP144F,47,1,3M,chela,57.83,0.43,20.72
2017,7,25,GP129F,17,1,1,chela,67.76,-3.92,1.91
2017,7,25,GP129F,19,1,1,chela,61.07,-2.66,-1.49
2017,7,25,GP129F,37,1,2,chela,62.93,-3.07,0.64
2017,7,25,GP143F,2,1,1,chela,61.99,-1.63,-0.63
2017,7,23,GP076F,2,1,1,chela,67.82,-1.55,1.92
2017,7,23,GP076F,10,1,1,chela,66.76,-1.42,2.98
2017,7,23,GP076F,16,1,3,chela,56.92,0.85,10.52
2017,7,23,GP076F,19,1,2,chela,53.26,0.49,10.28
2017,7,23,GP076F,27,1,3,chela,44.06,3.13,17.88
2017,7,23,GP076F,28,1,2,chela,47.08,2.42,10.67
2017,7,23,GP061F,2,1,3,chela,54.53,3.1,19.34
2017,7,23,GP061F,3,1,3,chela,61.9,-0.44,11.01
2017,7,23,GP061F,60,1,2,chela,57.14,0.16,6.54
2017,7,23,GP061F,64,1,4,chela,50.45,2.22,14.94
2017,7,23,GP061F,66,1,4,chela,49.18,2.18,12.79
