date,dawn.civil,dusk.civil
2024-07-01,04:53:00,21:52:00
2024-07-02,04:54:00,21:51:00
2024-07-03,04:55:00,21:51:00
2024-07-04,04:56:00,21:51:00
2024-07-05,04:56:00,21:50:00
2024-07-06,04:57:00,21:50:00
2024-07-07,04:58:00,21:49:00
2024-07-08,04:59:00,21:48:00
2024-07-09,05:00:00,21:48:00
2024-07-10,05:01:00,21:47:00
2024-07-11,05:02:00,21:46:00
2024-07-12,05:03:00,21:46:00
2024-07-13,05:04:00,21:45:00
2024-07-14,05:05:00,21:44:00
2024-07-15,05:06:00,21:43:00
2024-07-16,05:07:00,21:42:00
2024-07-17,05:08:00,21:41:00
2024-07-18,05:09:00,21:40:00
2024-07-19,05:10:00,21:39:00
2024-07-20,05:12:00,21:38:00
2024-07-21,05:13:00,21:37:00
2024-07-22,05:14:00,21:36:00
2024-07-23,05:15:00,21:34:00
2024-07-24,05:16:00,21:33:00
2024-07-25,05:18:00,21:32:00
2024-07-26,05:19:00,21:31:00
2024-07-27,05:20:00,21:29:00
2024-07-28,05:22:00,21:28:00
2024-07-29,05:23:00,21:27:00
2024-07-30,05:24:00,21:25:00
2024-07-31,05:26:00,21:24:00
2024-08-01,05:27:00,21:22:00
2024-08-02,05:28:00,21:21:00
2024-08-03,05:30:00,21:19:00
2024-08-04,05:31:00,21:18:00
2024-08-05,05:32:00,21:16:00
2024-08-06,05:34:00,21:14:00
2024-08-07,05:35:00,21:13:00
2024-08-08,05:36:00,21:11:00
2024-08-09,05:38:00,21:10:00
2024-08-10,05:39:00,21:08:00
2024-08-11,05:41:00,21:06:00
2024-08-12,05:42:00,21:04:00
2024-08-13,05:43:00,21:03:00
2024-08-14,05:45:00,21:01:00
2024-08-15,05:46:00,20:59:00
2024-08-16,05:47:00,20:57:00
2024-08-17,05:49:00,20:56:00
2024-08-18,05:50:00,20:54:00
2024-08-19,05:51:00,20:52:00
2024-08-20,05:53:00,20:50:00
2024-08-21,05:54:00,20:48:00
2024-08-22,05:56:00,20:46:00
2024-08-23,05:57:00,20:44:00
2024-08-24,05:58:00,20:42:00
2024-08-25,06:00:00,20:41:00
2024-08-26,06:01:00,20:39:00
2024-08-27,06:02:00,20:37:00
2024-08-28,06:04:00,20:35:00
2024-08-29,06:05:00,20:33:00
2024-08-30,06:06:00,20:31:00
2024-08-31,06:08:00,20:29:00
2024-09-01,06:09:00,20:27:00
2024-09-02,06:10:00,20:25:00
2024-09-03,06:12:00,20:23:00
2024-09-04,06:13:00,20:21:00
2024-09-05,06:14:00,20:19:00
2024-09-06,06:16:00,20:17:00
2024-09-07,06:17:00,20:15:00
2024-09-08,06:18:00,20:13:00
2024-09-09,06:20:00,20:11:00
2024-09-10,06:21:00,20:09:00
2024-09-11,06:22:00,20:07:00
2024-09-12,06:23:00,20:05:00
2024-09-13,06:25:00,20:03:00
2024-09-14,06:26:00,20:01:00
2024-09-15,06:27:00,19:59:00
2024-09-16,06:29:00,19:57:00
2024-09-17,06:30:00,19:55:00
2024-09-18,06:31:00,19:53:00
2024-09-19,06:33:00,19:51:00
2024-09-20,06:34:00,19:49:00
2024-09-21,06:35:00,19:47:00
2024-09-22,06:36:00,19:45:00
2024-09-23,06:38:00,19:43:00
2024-09-24,06:39:00,19:41:00
2024-09-25,06:40:00,19:39:00
2024-09-26,06:42:00,19:37:00
2024-09-27,06:43:00,19:35:00
2024-09-28,06:44:00,19:33:00
2024-09-29,06:45:00,19:31:00
2024-09-30,06:47:00,19:29:00
