"date","zone","tow.number","tow.id","valid","station.type","captain","start.time.logbook","stop.time.logbook","start.time","stop.time","haul.time","liftoff.time","longitude","latitude","longitude.start","longitude.stop","latitude.start","latitude.stop","longitude.start.logbook","longitude.stop.logbook","latitude.start.logbook","latitude.stop.logbook","depth","bottom.temperature","warp","swept.area","swept.area.method","groundfish.sample","water.sample","comment"
"2024-07-10","12F",1,"GP354F",1,"fixed","Ghislain Bourgeois","05:15:44","05:20:45","05:15:48","        ","05:24:52","05:20:59",NA,NA,-6023.6098,-6023.4736,4722.8186,4722.9628,-6023.611,-6023.473,4722.8168,4722.9628,44,2.53,125,2328,"model",0,NA,"Stable ~ 2.2 kts"
"2024-07-10","12F",2,"GP351F",1,"free","Ghislain Bourgeois","06:29:50","06:34:49","06:29:53","        ","06:40:07","06:34:59",NA,NA,-6027.5228,-6027.4541,4725.9488,4726.1138,-6027.523,-6027.454,4725.947,4726.1138,53,4.42,150,2356,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-10","12F",3,"GP353F",1,"fixed","Ghislain Bourgeois","07:51:26","07:56:26","07:51:07","        ","08:17:37","07:57:20",NA,NA,-6023.8752,-6023.7165,4731.3917,4731.5409,-6023.867,-6023.716,4731.4007,4731.5409,174,6.75,525,2706,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-10","12F",4,"GP352F",1,"free","Ghislain Bourgeois","09:45:35","09:50:36","09:45:57","        ","10:05:39","09:51:23",NA,NA,NA,NA,NA,NA,-6026.141,-6025.975,4733.3372,4733.4683,139,6.66,425,2488,"average",0,NA,"Stable ~ 2.2 kts"
"2024-07-10","12F",5,"GP350F",1,"free","Ghislain Bourgeois","11:05:23","11:10:23","11:04:17","        ","11:18:41","11:10:42",NA,NA,-6028.7534,-6028.5114,4730.5831,4730.7255,-6028.713,-6028.511,4730.6109,4730.7255,80,3.86,250,2730,"model",0,NA,"Accroche et force ~ 2.1 kts"
"2024-07-10","12F",6,"GP346F",1,"free","Ghislain Bourgeois","12:41:16","12:46:18","12:41:05","        ","12:50:13","12:46:32",NA,NA,-6036.6615,-6036.5,4728.6581,4728.7981,-6036.655,-6036.5,4728.6628,4728.7981,40,1.48,125,2209,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-10","12F",7,"GP342F",1,"free","Ghislain Bourgeois","13:54:01","13:59:01","13:54:00","        ","14:01:51","13:59:12",NA,NA,-6041.8263,-6041.6337,4733.8629,4733.9713,-6041.825,-6041.633,4733.8632,4733.9713,31,1.39,100,2477,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-10","12F",8,"GP043F",1,"free","Ghislain Bourgeois","15:17:16","15:22:18","15:17:21","        ","15:24:51","15:22:25",NA,NA,-6049.9973,-6049.7761,4730.4528,4730.5321,-6050.001,-6049.776,4730.4514,4730.5321,28,1.59,75,1922,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-10","12F",9,"GP323F",1,"free","Ghislain Bourgeois","17:03:09","17:08:11","17:03:06","        ","17:09:57","17:08:16",NA,NA,-6100.1882,-6100.1328,4737.453,4737.6253,-6100.187,-6100.132,4737.4547,4737.6253,20,3.06,50,1664,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-10","12F",10,"GP225F",0,"free","Ghislain Bourgeois","18:46:51","18:51:51","        ","        ","18:54:55","        ",NA,NA,NA,NA,NA,NA,-6046.696,-6046.507,4740.2939,4740.1713,32,1.39,100,NA,"",0,NA,"Chalut déchiré (poche) - accroche et force ~ 2.1 kts"
"2024-07-10","12F",11,"GP225FR1",0,"free","Ghislain Bourgeois","19:34:22","19:39:24","        ","        ","19:42:53","        ",NA,NA,NA,NA,NA,NA,-6046.13,-6045.866,4740.7023,4740.643,33,1.27,100,NA,"",0,NA,"Chalut brisé - accroche et force ~ 2.2 kts"
"2024-07-11","12F",1,"GP225FR2",1,"free","Ghislain Bourgeois","05:17:53","05:22:54","05:17:44","        ","05:26:15","05:23:04",NA,NA,-6047.5205,-6047.2677,4739.7748,4739.6878,-6047.513,-6047.267,4739.7722,4739.6878,31,1.47,100,2921,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-11","12F",2,"GP344F",1,"free","Ghislain Bourgeois","06:21:05","06:26:05","06:20:43","        ","06:30:46","06:26:19",NA,NA,-6040.6542,-6040.4958,4744.6091,4744.7698,-6040.644,-6040.495,4744.6196,4744.7698,46,1.47,150,2938,"model",0,NA,"Accroche et force ~ 2.1 kts"
"2024-07-11","12F",3,"GP341F",1,"free","Ghislain Bourgeois","07:36:24","07:41:24","07:36:41","        ","07:51:39","07:41:56",NA,NA,-6041.6651,-6041.4534,4748.7345,4748.6448,-6041.677,-6041.453,4748.7409,4748.6448,103,6.09,300,1600,"model",0,NA,"Stable ~ 2.2 kts"
"2024-07-11","12F",4,"GP335F",1,"fixed","Ghislain Bourgeois","08:59:08","09:04:09","08:59:10","        ","09:08:14","09:04:21",NA,NA,-6049.9987,-6049.7299,4746.1017,4746.0976,-6050,-6049.729,4746.1016,4746.0976,38,0.84,125,1861,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-11","12F",5,"GP325F",1,"free","Ghislain Bourgeois","10:17:10","10:22:11","10:16:30","        ","10:25:10","10:22:18",NA,NA,-6057.3387,-6057.1122,4747.0162,4746.88,-6057.311,-6057.112,4746.9988,4746.88,30,1,100,2558,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-11","12F",6,"GP331F",1,"free","Ghislain Bourgeois","11:11:07","11:16:07","11:10:55","        ","11:19:55","11:16:20",NA,NA,-6054.1455,-6053.9688,4749.9864,4749.8451,-6054.138,-6053.968,4749.9804,4749.8451,40,0.72,125,2436,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-11","12E",7,"GP324F",1,"fixed","Ghislain Bourgeois","12:36:06","12:41:04","12:36:07","        ","12:45:36","12:41:17",NA,NA,-6058.1541,-6058.0025,4755.0007,4754.8523,-6058.154,-6058.002,4755.0011,4754.8523,47,0.98,150,2792,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-11","12F",8,"GP320F",1,"free","Ghislain Bourgeois","14:26:16","14:31:17","14:26:59","        ","14:50:05","14:31:52",NA,NA,-6100.9429,-6100.8075,4802.0035,4801.8771,-6100.964,-6100.807,4802.024,4801.8771,163,6.79,500,2420,"average",0,NA,"Force a cause de vase ~ 2.1 kts"
