words	correction

crapaud,mer	chabiosseau
crapaud	chabiosseau

etoile,mer	etoile
etoile,grosse	etoile
etoile,branche	etoile
etoile,filament	etoile
etoile,fine	etoile
etoile,brain	etoile
etoile,patte	etoile
etoile,specifi	etoile
etoile,tentacule	etoile

eponge,mer	eponge
eponge,grosse	eponge
eponge,filament	eponge
eponge,fine	eponge
eponge,carr	eponge
eponge,brain	eponge
eponge,specifi	eponge

mollusque,toute	mollusque
mollusque,sorte	mollusque
morue,merluche	gadiforme
morue,pilote	morue de roche
moule,coque	bivalve

vide,moule	coquille
vide,palourde	coquille
